TIME,IP,PORT,TYPE,ERROR
09:11:25,192.168.10.20,1124,tcp,Exception error for port 1124
09:11:25,192.168.10.20,1125,tcp,Exception error for port 1125
09:11:25,192.168.10.20,1126,tcp,Exception error for port 1126
09:11:25,192.168.10.20,1127,tcp,Exception error for port 1127
09:11:25,192.168.10.20,1128,tcp,Exception error for port 1128
09:11:25,192.168.10.20,1129,tcp,Exception error for port 1129
09:11:25,192.168.10.20,1130,tcp,Exception error for port 1130
09:11:25,192.168.10.20,1131,tcp,Exception error for port 1131
09:11:25,192.168.10.20,1132,tcp,Exception error for port 1132
09:11:25,192.168.10.20,1133,tcp,Exception error for port 1133
09:11:25,192.168.10.20,1134,tcp,Exception error for port 1134
09:11:25,192.168.10.20,1135,tcp,Exception error for port 1135
09:11:25,192.168.10.20,1136,tcp,Exception error for port 1136
09:11:25,192.168.10.20,1137,tcp,Exception error for port 1137
09:11:25,192.168.10.20,1138,tcp,Exception error for port 1138
09:11:25,192.168.10.20,1139,tcp,Exception error for port 1139
09:11:25,192.168.10.20,1140,tcp,Exception error for port 1140
09:11:25,192.168.10.20,1141,tcp,Exception error for port 1141
09:11:25,192.168.10.20,1142,tcp,Exception error for port 1142
09:11:25,192.168.10.20,1143,tcp,Exception error for port 1143
09:11:25,192.168.10.20,1144,tcp,Exception error for port 1144
09:11:25,192.168.10.20,1145,tcp,Exception error for port 1145
09:11:25,192.168.10.20,1146,tcp,Exception error for port 1146
09:11:25,192.168.10.20,1147,tcp,Exception error for port 1147
09:11:25,192.168.10.20,1148,tcp,Exception error for port 1148
09:11:25,192.168.10.20,1149,tcp,Exception error for port 1149
09:11:25,192.168.10.20,1150,tcp,Exception error for port 1150
09:11:25,192.168.10.20,1151,tcp,Exception error for port 1151
09:11:25,192.168.10.20,1152,tcp,Exception error for port 1152
09:11:25,192.168.10.20,1153,tcp,Exception error for port 1153
09:11:25,192.168.10.20,1154,tcp,Exception error for port 1154
09:11:25,192.168.10.20,1155,tcp,Exception error for port 1155
09:11:25,192.168.10.20,1156,tcp,Exception error for port 1156
09:11:25,192.168.10.20,1157,tcp,Exception error for port 1157
09:11:25,192.168.10.20,1158,tcp,Exception error for port 1158
09:11:25,192.168.10.20,1159,tcp,Exception error for port 1159
09:11:25,192.168.10.20,1160,tcp,Exception error for port 1160
09:11:25,192.168.10.20,1161,tcp,Exception error for port 1161
09:11:25,192.168.10.20,1162,tcp,Exception error for port 1162
09:11:25,192.168.10.20,1163,tcp,Exception error for port 1163
09:11:25,192.168.10.20,1164,tcp,Exception error for port 1164
09:11:25,192.168.10.20,1165,tcp,Exception error for port 1165
09:11:25,192.168.10.20,1166,tcp,Exception error for port 1166
09:11:25,192.168.10.20,1167,tcp,Exception error for port 1167
09:11:25,192.168.10.20,1168,tcp,Exception error for port 1168
09:11:25,192.168.10.20,1169,tcp,Exception error for port 1169
09:11:25,192.168.10.20,1170,tcp,Exception error for port 1170
09:11:25,192.168.10.20,1171,tcp,Exception error for port 1171
09:11:25,192.168.10.20,1172,tcp,Exception error for port 1172
09:11:25,192.168.10.20,1173,tcp,Exception error for port 1173
09:11:25,192.168.10.20,1174,tcp,Exception error for port 1174
09:11:25,192.168.10.20,1175,tcp,Exception error for port 1175
09:11:25,192.168.10.20,1176,tcp,Exception error for port 1176
09:11:25,192.168.10.20,1177,tcp,Exception error for port 1177
09:11:25,192.168.10.20,1178,tcp,Exception error for port 1178
09:11:25,192.168.10.20,1179,tcp,Exception error for port 1179
09:11:25,192.168.10.20,1180,tcp,Exception error for port 1180
09:11:25,192.168.10.20,1181,tcp,Exception error for port 1181
09:11:25,192.168.10.20,1182,tcp,Exception error for port 1182
09:11:25,192.168.10.20,1183,tcp,Exception error for port 1183
09:11:25,192.168.10.20,1184,tcp,Exception error for port 1184
09:11:25,192.168.10.20,1185,tcp,Exception error for port 1185
09:11:25,192.168.10.20,1186,tcp,Exception error for port 1186
09:11:25,192.168.10.20,1187,tcp,Exception error for port 1187
09:11:25,192.168.10.20,1188,tcp,Exception error for port 1188
09:11:25,192.168.10.20,1189,tcp,Exception error for port 1189
09:11:25,192.168.10.20,1190,tcp,Exception error for port 1190
09:11:25,192.168.10.20,1191,tcp,Exception error for port 1191
09:11:25,192.168.10.20,1192,tcp,Exception error for port 1192
09:11:25,192.168.10.20,1193,tcp,Exception error for port 1193
09:11:25,192.168.10.20,1194,tcp,Exception error for port 1194
09:11:25,192.168.10.20,1195,tcp,Exception error for port 1195
09:11:25,192.168.10.20,1196,tcp,Exception error for port 1196
09:11:25,192.168.10.20,1197,tcp,Exception error for port 1197
09:11:25,192.168.10.20,1198,tcp,Exception error for port 1198
09:11:25,192.168.10.20,1199,tcp,Exception error for port 1199
09:11:25,192.168.10.20,1200,tcp,Exception error for port 1200
09:11:25,192.168.10.20,1201,tcp,Exception error for port 1201
09:11:25,192.168.10.20,1202,tcp,Exception error for port 1202
09:11:25,192.168.10.20,1203,tcp,Exception error for port 1203
09:11:25,192.168.10.20,1204,tcp,Exception error for port 1204
09:11:25,192.168.10.20,1205,tcp,Exception error for port 1205
09:11:25,192.168.10.20,1206,tcp,Exception error for port 1206
09:11:25,192.168.10.20,1207,tcp,Exception error for port 1207
09:11:25,192.168.10.20,1208,tcp,Exception error for port 1208
09:11:25,192.168.10.20,1209,tcp,Exception error for port 1209
09:11:25,192.168.10.20,1210,tcp,Exception error for port 1210
09:11:25,192.168.10.20,1211,tcp,Exception error for port 1211
09:11:25,192.168.10.20,1212,tcp,Exception error for port 1212
09:11:25,192.168.10.20,1213,tcp,Exception error for port 1213
09:11:25,192.168.10.20,1214,tcp,Exception error for port 1214
09:11:25,192.168.10.20,1215,tcp,Exception error for port 1215
09:11:25,192.168.10.20,1216,tcp,Exception error for port 1216
09:11:25,192.168.10.20,1217,tcp,Exception error for port 1217
09:11:25,192.168.10.20,1218,tcp,Exception error for port 1218
09:11:25,192.168.10.20,1219,tcp,Exception error for port 1219
09:11:25,192.168.10.20,1220,tcp,Exception error for port 1220
09:11:25,192.168.10.20,1221,tcp,Exception error for port 1221
09:11:25,192.168.10.20,1222,tcp,Exception error for port 1222
09:11:25,192.168.10.20,1223,tcp,Exception error for port 1223
09:11:25,192.168.10.20,1224,tcp,Exception error for port 1224
09:11:25,192.168.10.20,1225,tcp,Exception error for port 1225
09:11:25,192.168.10.20,1226,tcp,Exception error for port 1226
