TIME,IP,PORT,TYPE,STATUS
10:51:02,127.0.0.1,80,tcp,open
10:51:02,127.0.0.1,139,tcp,open
10:51:02,127.0.0.1,445,tcp,open
10:51:02,127.0.0.1,631,tcp,open
10:51:02,127.0.0.1,1716,tcp,open
10:51:02,127.0.0.1,2879,tcp,open
10:51:03,127.0.0.1,3306,tcp,open
10:51:03,127.0.0.1,5939,tcp,open
10:51:03,127.0.0.1,9050,tcp,open
10:51:06,127.0.0.1,33060,tcp,open
10:51:08,127.0.0.1,55520,tcp,open
